"Permit #","Issued Date","Permit Type","Permit Sub Type","Address","Description","Contractor Name","RECORDID"
"BLDG20-0212","01/14/2020","RESIDENTIAL COUNTER","REROOF","3180 KASSLER PL","Replace roof on main structure","HOMEGUARD RESTORATION","ECON:200114084408673"
"BLDG20-0214","01/14/2020","RESIDENTIAL COUNTER","REROOF","9466 W 104TH CT","Remove existing shingles & rep...","MOUNTAIN CONSTRUCTION & MANAGE...","ECON:200114093637043"
"BLDG20-0217","01/14/2020","RESIDENTIAL BUILDING","ELECTRICAL","9223 W 100TH CIR","Remove and replace FPE panel, ...","WE R ELECTRIC LLC","ECON:200114102759646"
"BLDG20-0220","01/14/2020","RESIDENTIAL COUNTER","WATER HEATER","8772 EVERETT CT","install replacement","COOPER HEATING & COOLING INC","ECON:200114112343028"
"BLDG20-0221","01/14/2020","RESIDENTIAL COUNTER","FURNACE","2151 W 131ST WAY","Replacing existing furnace","BOB'S HEATING & AIR CONDITIONI...","EPRS:200114112401043"
"BLDG20-0222","01/14/2020","RESIDENTIAL COUNTER","AIR CONDITIONER","7851 JULIAN ST","Replace 2 ton AC","Service Experts  - Bartels Wes...","ECON:200114115734301"
"BLDG20-0223","01/14/2020","RESIDENTIAL COUNTER","WATER HEATER","7341 BRYANT ST","replace existing 40 gal gas wa...","Front Range Plumbing","ECON:200114121829410"
"BLDG20-0224","01/14/2020","RESIDENTIAL COUNTER","REROOF","9779 CARR CIR","Complete Reroof","","MSCA:200114125450543"
"BLDG20-0228","01/14/2020","RESIDENTIAL BUILDING","ELECTRICAL","10543 ROUTT LN","generator gas line and service...","OUTLOOK ELECTRIC INC","ECON:200114021848372"
"BLDG19-8402","01/13/2020","RESIDENTIAL COUNTER","FURNACE","10567 W 107TH AVE","Replacement of furnace","KAPPLER MECH & ELECTRICAL INC","ECON:191210085204771"
"BLDG19-8443","01/13/2020","RESIDENTIAL NEW","SINGLE FAMILY DETACHED","12879 FOX CT","New residential construction.","Century Communities","ECON:191211033141960"
"BLDG19-8444","01/13/2020","RESIDENTIAL NEW","SINGLE FAMILY DETACHED","12889 FOX CT","New residential construction.","Century Communities","ECON:191211034405083"
"BLDG19-8497","01/13/2020","RESIDENTIAL COUNTER","REROOF","8795 W 96TH DR","Remove and replace asphalt shi...","ANDERSON CONSTRUCTION","ECON:191213010918672"
"BLDG20-0064","01/13/2020","RESIDENTIAL EXTERIOR","GARAGE","10908 YUKON ST","build detached garage","RUIZ CUSTOM RENOVATIONS","ECON:200106104253199"
"BLDG20-0085","01/13/2020","RESIDENTIAL INTERIOR","BASEMENT FINISH","4376 W 117TH WAY","Basement Finish - Bedroom, 3/4...","BASEMENT PARTNERS INC","ECON:200106061126484"
"BLDG20-0094","01/13/2020","RESIDENTIAL COUNTER","SEWER REPAIR","9350 NEWTON ST","Repair approx 20ft sewer pipe ...","GOLLNICK CONSTRUCTION INC dba ...","ECON:200107105218289"
"BLDG20-0149","01/13/2020","RESIDENTIAL BUILDING","MECHANICAL","4105 W 111TH CIR","Replace existing leaking/corro...","The Gas Connection","ECON:200109113705084"
"BLDG20-0153","01/13/2020","RESIDENTIAL BUILDING","ELECTRICAL","5072 W 98TH PL","Service panel upgrade","BRE LLC","ECON:200109014422058"
"BLDG20-0154","01/13/2020","RESIDENTIAL COUNTER","SEWER REPAIR","7800 ZENOBIA ST","30' long sewer service repair ...","THE ELITE PIPE MD","ECON:200109020027257"
"BLDG20-0169","01/13/2020","RESIDENTIAL COUNTER","REROOF","6541 W 112TH PL","Re roof","MAXX ROOF LLC","ECON:200110100133596"
"BLDG20-0178","01/13/2020","RESIDENTIAL COUNTER","WATER HEATER","4901 W 93RD AVE #912","Change out water heater","LEGACY MECHANICAL INC (PLUMBIN...","ECON:200110033001167"
"BLDG20-0179","01/13/2020","RESIDENTIAL COUNTER","WATER HEATER","9070 W 94TH AVE","Installing water heater","PLUMB PROS INC","ECON:200110043451200"
"BLDG20-0185","01/13/2020","RESIDENTIAL COUNTER","WATER HEATER","9390 PERRY ST","40 gallon; 40000 BTU water hea...","Roland Wostl","EPRS:200113075703079"
"BLDG20-0186","01/13/2020","RESIDENTIAL COUNTER","FURNACE AND AIR CONDITIONER","4921 W 71ST PL","Replace furnace ac with 80000 ...","Fix-It 247 Home sevices","ECON:200113075907152"
"BLDG20-0187","01/13/2020","RESIDENTIAL BUILDING","ELECTRICAL","11127 CHASE WAY","Upgrade panel 200 amp","LEGACY ELECTRIC LLC (WESTMINST...","ECON:200113083547620"
"BLDG20-0188","01/13/2020","RESIDENTIAL COUNTER","WATER HEATER","9545 FLOWER ST","Installing 40 gallon water hea...","PLUMB PROS INC","ECON:200113090513881"
"BLDG20-0196","01/13/2020","RESIDENTIAL COUNTER","FURNACE AND AIR CONDITIONER","2550 W 82ND PL #A","install replacement","COOPER HEATING & COOLING INC","ECON:200113122203491"
"BLDG20-0126","01/12/2020","RESIDENTIAL COUNTER","REROOF","8713 DOVER CT","R&R shigles w/ Certainteed Lan...","LOVERIDGE BUILDERS LLC","ECON:200108113406374"
"BLDG20-0161","01/12/2020","RESIDENTIAL COUNTER","REROOF","9825 MARSHALL WAY","remove old shingles, installin...","ADVOCATE CONSTRUCTION","ECON:200110075230350"
"BLDG20-0162","01/12/2020","RESIDENTIAL COUNTER","REROOF","7071 ALCOTT ST","remove old shingles, installin...","ADVOCATE CONSTRUCTION","ECON:200110075739419"
"BLDG20-0163","01/12/2020","RESIDENTIAL COUNTER","REROOF","11246 W 104TH AVE","remove old shingles, installin...","ADVOCATE CONSTRUCTION","ECON:200110075944456"
"BLDG20-0164","01/12/2020","RESIDENTIAL COUNTER","REROOF","10720 W 104TH AVE","remove old shingles, installin...","ADVOCATE CONSTRUCTION","ECON:200110080157494"
"BLDG20-0166","01/12/2020","RESIDENTIAL COUNTER","REROOF","6601 W 99TH AVE","remove old shingles, installin...","ADVOCATE CONSTRUCTION","ECON:200110094647279"
"BLDG20-0168","01/12/2020","RESIDENTIAL COUNTER","REROOF","10621 W 104TH AVE","remove old shingles, installin...","ADVOCATE CONSTRUCTION","ECON:200110095043512"
"BLDG19-8616","01/10/2020","RESIDENTIAL INTERIOR","INTERIOR REMODEL","3168 W 100TH DR","Add washer and dryer","BECK BUILDING COMPANY","ECON:191219080847456"
"BLDG20-0066","01/10/2020","RESIDENTIAL COUNTER","REROOF","10537 IRVING CT","Remove existing shingles & rep...","MOUNTAIN CONSTRUCTION & MANAGE...","ECON:200106105555357"
"BLDG20-0102","01/10/2020","RESIDENTIAL COUNTER","FURNACE AND AIR CONDITIONER","10688 LOWELL DR","install a 120K 80% Furnace & a...","BROTHERS PLUMBING HEATING &  E...","ECON:200107013626052"
"BLDG20-0103","01/10/2020","RESIDENTIAL COUNTER","WATER HEATER","11111 ALCOTT ST #C","install a 40 gallon 40K BTU wa...","BROTHERS PLUMBING HEATING &  E...","ECON:200107014020158"
"BLDG20-0140","01/10/2020","RESIDENTIAL BUILDING","ELECTRICAL","9303 W 100TH CIR","Manual Transfer Switch will be...","ECOMARK SALES INC","ECON:200109071130331"
"BLDG20-0158","01/10/2020","RESIDENTIAL COUNTER","WATER HEATER","7780 MEADE ST","REPLACE 50 GALLON GAS WATER HE...","DOCTOR FIX IT PLUMBING HEATING...","ECON:200109033639004"
"BLDG20-0165","01/10/2020","RESIDENTIAL COUNTER","REROOF","11020 HARLAN ST","Replace Roof","DENVER ROOFERS LLC","ECON:200110085616906"
"BLDG20-0170","01/10/2020","RESIDENTIAL SOLAR","NEW PV INSTALL","10294 MEADE CT","Roof Mount, Flush Mount, Grid-...","SUNRUN INSTALLATION SERVICES I...","ECON:200110102548726"
"BL20-0001","01/09/2020","BUSINESS LICENSE","","12025 PECOS ST","Mayan's Mexican Restaurant","","DHOR:200109100847289"
"BL20-0002","01/09/2020","BUSINESS LICENSE","","11187 SHERIDAN BLVD #2","Lis Chinese Restaurant","","DHOR:200109101116304"
"BLDG17-3531","01/09/2020","RESIDENTIAL COUNTER","AIR CONDITIONER","9357 FLOWER ST","AC installation","ELEMENTS HEATING & COOLING","EPRS:170623011110756"
"BLDG19-7361","01/09/2020","COMMERCIAL","BUILDING","9250 SHERIDAN BLVD #200","Expand existing space by reloc...","MAXWELL BUILDERS INC","ECON:191021104304053"
"BLDG19-7977","01/09/2020","COMMERCIAL","BUILDING","581 W 123RD AVE BLDG CH","Tanglewood Apts Demo & Remodel","Zione Arch Group - David Lee","EPRS:191113121048456"
"BLDG19-8277","01/09/2020","COMMERCIAL","BUILDING","9650 SHERIDAN BLVD","Hyland Hills Adventure Golf Co...","HYLAND HILLS PARK & REC DIST","ECON:191202122002404"
"BLDG19-8355","01/09/2020","COMMERCIAL","BUILDING","9675 W 108TH CIR","Ball AMC labor/material to ins...","KENNY ELECTRIC SERVICE","ECON:191205034225772"
"BLDG19-8588","01/09/2020","RESIDENTIAL EXTERIOR","GARAGE","9925 AMMONS CIR","Pole Barn","Greg Michaels","EPRS:191218110549998"
"BLDG20-0007","01/09/2020","RESIDENTIAL INTERIOR","INTERIOR REMODEL","3274 W 102ND PL","Install new beam, new kitchen ...","GIL-ROY CONSTRUCTION INC","ECON:200102105656227"
"BLDG20-0052","01/09/2020","RESIDENTIAL COUNTER","REROOF","9571 W 104TH AVE","Re-Roof from Hail Damage","Michael A Rambo","EPRS:200105025236404"
"BLDG20-0100","01/09/2020","RESIDENTIAL COUNTER","REROOF","13083 TEJON CT","Complete tear-off and re-roof ...","4TH DIMENSION CONCEPTS","ECON:200107011449812"
"BLDG20-0131","01/09/2020","RESIDENTIAL COUNTER","REROOF","9202 HOYT ST","Remove old roof installing new...","QUALITY ROOFING CO","ECON:200108124336005"
"BLDG20-0132","01/09/2020","RESIDENTIAL COUNTER","REROOF","8051 CLAY ST","Remove and replace main roof a...","QUALITY ROOFING CO","ECON:200108124734067"
"BLDG20-0137","01/09/2020","RESIDENTIAL BUILDING","BUILDING","3298 W 103RD PL","stabilize foundation helical p...","VAN MATRE CONSTRUCTION LLC","ECON:200108052913760"
"BLDG20-0139","01/09/2020","RESIDENTIAL SOLAR","NEW PV INSTALL","5646 W 71ST PL","Install 7.56kW roof mounted so...","SOLARCITY CORPORATION","ECON:200109070215276"
"BLDG20-0141","01/09/2020","RESIDENTIAL COUNTER","FURNACE AND AIR CONDITIONER","5751 W 71ST AVE","REPLACE FURNACE AND AC WITH 80...","Swan Heating & Air Conditionin...","ECON:200109072334425"
"BLDG20-0142","01/09/2020","RESIDENTIAL BUILDING","BUILDING","7871 STUART ST","foundation stabilization","COMPLETE BASEMENT SYSTEMS INC","ECON:200109080632640"
"BLDG20-0145","01/09/2020","RESIDENTIAL EXTERIOR","DECK","8551 W 94TH PL","Replacing an existing deck","K & A CONSTRUCTION","ECON:200109104333673"
"BLDG20-0146","01/09/2020","RESIDENTIAL COUNTER","REROOF","9913 QUAY WAY","Complete Reroof","PAX USA LTD","MSCA:200109105550620"
"BLDG20-0148","01/09/2020","RESIDENTIAL COUNTER","FURNACE","10546 W 107TH AVE","furnace replacement","ELEMENTS HEATING & COOLING","ECON:200109112115943"
"BLDG20-0155","01/09/2020","RESIDENTIAL COUNTER","SEWER REPAIR","3355 W 76TH AVE","sewer service repair yard","AFFORD A ROOTER","ECON:200109023040458"
"BLDG20-0156","01/09/2020","RESIDENTIAL COUNTER","WATER REPAIR","7770 W 90TH DR","Excavate and repair water serv...","Professional Sewer Excavation,...","ECON:200109024306579"
"BLDG19-4084","01/08/2020","RESIDENTIAL EXTERIOR","PATIO COVER OR CARPORT","10841 HARLAN ST","proposing a patio cover 14' x1...","HIGH WEST SIDING & WINDOWS, IN...","ECON:190718085610047"
"BLDG19-7156","01/08/2020","RESIDENTIAL BUILDING","ELECTRICAL","4715 W 102ND PL","Service Upgrade and new meter ...","BRE LLC","ECON:191013081900300"
"BLDG19-7421","01/08/2020","COMMERCIAL","TENANT FINISH","6424 W 91ST AVE","TF for F.List","","ECON:191022020417433"
"BLDG19-8574","01/08/2020","COMMERCIAL","ELECTRICAL","3003 W 104TH AVE #400","Install new Meter and Disconne...","E&L ELECTRIC","ECON:191217034246178"
"BLDG19-8635","01/08/2020","RESIDENTIAL COUNTER","REROOF","11015 SETON CT","reroof","MAXX ROOF LLC","ECON:191219040307587"
"BLDG19-8640","01/08/2020","RESIDENTIAL COUNTER","FURNACE","6870 W 91ST CT #9102","remove old furnace and replace...","AFFORDABLE PLUMBING AND HEATIN...","ECON:191220122444246"
"BLDG19-8687","01/08/2020","RESIDENTIAL COUNTER","WATER HEATER","9670 BRENTWOOD WAY #101","Install 40 gallon electric 36,...","SQUEAK SERVICES","ECON:191226014436846"
"BLDG19-8732","01/08/2020","RESIDENTIAL COUNTER","WATER HEATER","4461 W 109TH PL","water heater install","AAA SERVICE PLUMBING INC","ECON:191230014236599"
"BLDG20-0031","01/08/2020","RESIDENTIAL COUNTER","FURNACE AND AIR CONDITIONER","3886 W 103RD DR","install furnace and ac with st...","AAA SERVICE PLUMBING INC","ECON:200103071354272"
"BLDG20-0033","01/08/2020","RESIDENTIAL COUNTER","WATER HEATER","4901 W 93RD AVE #2037","Change out water heater","LEGACY MECHANICAL INC","ECON:200103081948588"
"BLDG20-0034","01/08/2020","RESIDENTIAL COUNTER","WATER HEATER","4901 W 93RD AVE #1138","Change out water heater","LEGACY MECHANICAL INC","ECON:200103082350632"
"BLDG20-0047","01/08/2020","RESIDENTIAL BUILDING","ELECTRICAL","7402 CHURCH RANCH BLVD #216","dedicated microwave circuit & ...","D&J ENTERPRISES LLC","ECON:200103043707571"
"BLDG20-0049","01/08/2020","RESIDENTIAL BUILDING","ELECTRICAL","7402 CHURCH RANCH BLVD #727","Install dedicated microwave ci...","D&J ENTERPRISES LLC","ECON:200103044010666"
"BLDG20-0055","01/08/2020","RESIDENTIAL COUNTER","SIDING REPLACEMENT","9440 BRENTWOOD WAY","Siding","CREST EXTERIORS LLC","ECON:200106083728877"
"BLDG20-0070","01/08/2020","RESIDENTIAL COUNTER","FURNACE","6643 W 96TH AVE","Replace furnace","DELTA T HEATING & AIR","ECON:200106121519099"
"BLDG20-0088","01/08/2020","RESIDENTIAL COUNTER","REROOF","10254 QUAIL ST","remove old shingles, installin...","ADVOCATE CONSTRUCTION","ECON:200107062312292"
"BLDG20-0089","01/08/2020","RESIDENTIAL COUNTER","REROOF","10201 W 102ND AVE","remove old shingles, installin...","ADVOCATE CONSTRUCTION","ECON:200107062541339"
"BLDG20-0092","01/08/2020","RESIDENTIAL COUNTER","WATER HEATER","1496 W 116TH AVE #31","Replaced 40 gallon water heate...","PLANET PLUMBING LLC","ECON:200107094619200"
"BLDG20-0093","01/08/2020","RESIDENTIAL COUNTER","REROOF","10621 W 102ND AVE","Remove asphalt, replace with O...","LR Contracting Inc","ECON:200107103120842"
"BLDG20-0098","01/08/2020","RESIDENTIAL COUNTER","FURNACE","6880 W 91ST CT #3203","replace furnace like for like","AFFORDABLE PLUMBING AND HEATIN...","ECON:200107125341599"
"BLDG20-0109","01/08/2020","RESIDENTIAL COUNTER","FURNACE","9242 EVERETT ST","REPLACE 80% 75K BTU FURNACE","BELL PLUMBING & HEATING","EPRS:200108071416783"
"BLDG20-0110","01/08/2020","RESIDENTIAL COUNTER","WATER HEATER","9242 EVERETT ST","REPLACE 40GAL 40K BTU WATER HE...","BELL PLUMBING & HEATING","EPRS:200108071552838"
"BLDG20-0111","01/08/2020","RESIDENTIAL COUNTER","REROOF","1246 W 132ND PL","Reroof","Ridge Construction Inc","ECON:200108082625234"
"BLDG20-0112","01/08/2020","COMMERCIAL","MECHANICAL","9970 WADSWORTH PKWY","Remove and Replace 6 RTU Like ...","Arris Inc.","ECON:200108085149429"
"BLDG20-0113","01/08/2020","RESIDENTIAL SOLAR","REMOVE AND REINSTALL","10311 W 102ND AVE","Removal and reinstallation of ...","ELEVATED INDEPENDENT ENERGY","ECON:200108085913518"
"BLDG20-0114","01/08/2020","RESIDENTIAL COUNTER","REROOF","10531 ROUTT LN","Remove one layer and install n...","Ridge Construction Inc","ECON:200108093944821"
"BLDG20-0116","01/08/2020","RESIDENTIAL COUNTER","WATER HEATER","4750 W 103RD CT","REPLACED 50 GALLON BTU OF 65,0...","BELL PLUMBING & HEATING","EPRS:200108094908962"
"BLDG20-0117","01/08/2020","RESIDENTIAL COUNTER","WATER HEATER","11191 BRYANT CT","REPLACED 50 GALLON BTU OF 40,0...","BELL PLUMBING & HEATING","EPRS:200108095014995"
"BLDG20-0118","01/08/2020","RESIDENTIAL BUILDING","ELECTRICAL","7085 BEACH ST","electrical panel replacement","ABSOLUTE ELECTRICAL HEATING & ...","ECON:200108095324055"
"BLDG20-0119","01/08/2020","RESIDENTIAL COUNTER","REROOF","10140 W 101ST DR","Remove existing asphalt roof t...","ALL AROUND ROOFING & EXTERIORS","ECON:200108095602101"
"BLDG20-0124","01/08/2020","RESIDENTIAL COUNTER","WATER HEATER","5673 W 116TH PL","Replace 50 gallon gas wh with ...","Tyco Plumbing Corp - Tyler Cou...","ECON:200108104656814"
"BLDG20-0129","01/08/2020","RESIDENTIAL BUILDING","ELECTRICAL","7710 JULIAN ST","150A Service and sub panel","DEFY ELECTRIC LLC","ECON:200108120748722"
"BLDG20-0133","01/08/2020","RESIDENTIAL COUNTER","WATER HEATER","2601 W 106TH LOOP #B","replace water heater","AFFORDABLE PLUMBING AND HEATIN...","ECON:200108125158137"
"BLDG20-0136","01/08/2020","RESIDENTIAL COUNTER","SEWER REPAIR","9180 TENNYSON ST","sewer service repair","AFFORD A ROOTER","ECON:200108042950371"
"BLDG19-0227","01/07/2020","RESIDENTIAL COUNTER","REROOF","11140 W 102ND AVE","Re-roof tare off replace with ...","4TH DIMENSION CONCEPTS","ECON:190114091603962"
"BLDG19-7432","01/07/2020","COMMERCIAL","BUILDING","9560 SHERIDAN BLVD","Monument Signs","R G BRINKMANN DBA BRINKMANN CO...","ECON:191022045329849"
"BLDG19-8458","01/07/2020","RESIDENTIAL SOLAR","NEW PV INSTALL","12888 FOX CT","installation of 3.2kw flush mo...","SUNSTREET ENERGY GROUP LLC","ECON:191212104429868"
"BLDG19-8459","01/07/2020","RESIDENTIAL SOLAR","NEW PV INSTALL","12878 FOX CT","installation of 3.2kw flush mo...","SUNSTREET ENERGY GROUP LLC","ECON:191212104816928"
"BLDG19-8470","01/07/2020","RESIDENTIAL COUNTER","REROOF","10534 QUAIL ST","Remove existing roof. Replace ...","VOGEL ROOFING INC","ECON:191212062735075"
"BLDG19-8606","01/07/2020","RESIDENTIAL COUNTER","AIR CONDITIONER","9140 TENNYSON ST","Remove an replace  AC  with ne...","GOLDEN WEST PLUMBING, HEATING ...","ECON:191218013807545"
"BLDG19-8691","01/07/2020","COMMERCIAL SIGN","SIGN","8875 WESTMINSTER BLVD","Install (3) new back lit wall ...","CUSTOM LIGHTED SIGNS","ECON:191226030239461"
"BLDG19-8726","01/07/2020","RESIDENTIAL SOLAR","NEW PV INSTALL","12879 FOX CT","installation of 3.2kw flush mo...","SUNSTREET ENERGY GROUP LLC","ECON:191230124854162"
"BLDG19-8728","01/07/2020","RESIDENTIAL SOLAR","NEW PV INSTALL","12889 FOX CT","installation of 3.2kw flush mo...","SUNSTREET ENERGY GROUP LLC","ECON:191230125220227"
"BLDG19-8731","01/07/2020","RESIDENTIAL INTERIOR","INTERIOR REMODEL","2721 W 106TH LOOP #A","Remodel master bathroom Schlut...","Expert Touch Tiling/Serge Meze...","EPRS:191230013857556"
"BLDG19-8733","01/07/2020","RESIDENTIAL INTERIOR","BASEMENT FINISH","11781 TENNYSON WAY","Basement Finish","Tenzin Jigme","EPRS:191230022312793"
"BLDG20-0020","01/07/2020","COMMERCIAL","REROOF","3013 W 104TH AVE #700","Mechanically attach 60 mil Ver...","TECTA AMERICA COLORADO LLC","ECON:200102023807218"
"BLDG20-0029","01/07/2020","RESIDENTIAL COUNTER","FURNACE AND AIR CONDITIONER","6611 W 74TH AVE","Remove and install 80K BTU 96%...","DIRECT ENERGY SERVICE RETAIL I...","ECON:200103063214089"
"BLDG20-0030","01/07/2020","RESIDENTIAL BUILDING","ELECTRICAL","9562 DUDLEY DR","Upgrade main panel from 150A t...","BRS FIELD OPS LLC","ECON:200103063708123"
"BLDG20-0032","01/07/2020","RESIDENTIAL COUNTER","FURNACE","1097 W 112TH AVE #B","REPLACE FURNACE WITH 80% 80K B...","Swan Heating & Air Conditionin...","ECON:200103075755500"
"BLDG20-0035","01/07/2020","RESIDENTIAL BUILDING","PLUMBING","7790 PERRY PL","Replace failed boiler with 90K...","BROOMHALL BROTHERS MECHANICAL ...","ECON:200103091608830"
"BLDG20-0038","01/07/2020","RESIDENTIAL COUNTER","FURNACE","8735 W 86TH AVE","80 70k BTU furnace","PLUMBLINE SERVICES","ECON:200103104030608"
"BLDG20-0039","01/07/2020","RESIDENTIAL COUNTER","WATER HEATER","12294 BANNOCK ST #22210","remove and replace 50 gallon p...","MASTER ROOTER PLUMBING LLC","ECON:200103113716999"
"BLDG20-0040","01/07/2020","RESIDENTIAL COUNTER","FURNACE","2830 W 116TH PL #103","Remove & replace 45k 80% furna...","Residential Comfort Services L...","ECON:200103113719012"
"BLDG20-0043","01/07/2020","RESIDENTIAL COUNTER","FURNACE AND AIR CONDITIONER","9991 HOYT PL","Installing replacement Furnace...","PRECISION PLUMBING & HEATING I...","ECON:200103025010928"
"BLDG20-0045","01/07/2020","RESIDENTIAL COUNTER","REROOF","9565 FLOWER ST","Residential Re-Roof 19.67 SQ O...","BEAR BROTHERS ROOFING","ECON:200103034532193"
"BLDG20-0046","01/07/2020","RESIDENTIAL COUNTER","WATER HEATER","12725 HOME FARM DR","install replacement","COOPER HEATING & COOLING INC","ECON:200103034907247"
"BLDG20-0048","01/07/2020","RESIDENTIAL COUNTER","FURNACE","11752 ZENOBIA LOOP","REPLACE FURNACE WITH BASIC ELE...","APPLEWOOD PLUMBING HEATING & E...","ECON:200103043937649"
"BLDG20-0050","01/07/2020","RESIDENTIAL COUNTER","FURNACE","7920 XAVIER ST","Furnace replacement","LAKESIDE HEATING & AC","ECON:200104081306125"
"BLDG20-0051","01/07/2020","RESIDENTIAL INTERIOR","BASEMENT FINISH","5426 W 100TH PL","Remodel existing basement.","TRUSTE CONSTRUCTION LLC","ECON:200105012333232"
"BLDG20-0053","01/07/2020","RESIDENTIAL COUNTER","WATER HEATER","9760 WESTCLIFF PKWY #727","#727 - Replace water heater","PROCRAFT MECHANICAL INC","ECON:200106061725103"
"BLDG20-0058","01/07/2020","RESIDENTIAL BUILDING","ELECTRICAL","9345 W 100TH CIR","Service Change","ACOLBY ELECTRIC INC","EPRS:200106094232394"
"BLDG20-0059","01/07/2020","RESIDENTIAL COUNTER","WATER HEATER","9860 WESTCLIFF PKWY #2023","#2023 - Replace water heater","PROCRAFT MECHANICAL INC","ECON:200106094834525"
"BLDG20-0060","01/07/2020","RESIDENTIAL COUNTER","WATER HEATER","9770 WESTCLIFF PKWY #327","#327 - Replace water heater","PROCRAFT MECHANICAL INC","ECON:200106095204624"
"BLDG20-0063","01/07/2020","RESIDENTIAL SOLAR","NEW PV INSTALL","10510 W 106TH PL","5.80 kW residential solar arra...","BRS FIELD OPS LLC","ECON:200106103715124"
"BLDG20-0067","01/07/2020","RESIDENTIAL COUNTER","WATER HEATER","7595 FENTON ST","replace 40 gallon gas water he...","Steadfast Plumbing Inc","ECON:200106111045565"
"BLDG20-0068","01/07/2020","RESIDENTIAL COUNTER","SEWER REPAIR","1328 W 135TH DR","8' SPOT REPAIR IN FRONT YARD A...","TRENCH RIGHT","ECON:200106113239801"
"BLDG20-0069","01/07/2020","RESIDENTIAL COUNTER","WATER HEATER","4735 W 118TH CT","install replacement","COOPER HEATING & COOLING INC","ECON:200106114504921"
"BLDG20-0071","01/07/2020","RESIDENTIAL COUNTER","REROOF","11562 IRVING ST","remove & replace roof with Arc...","FBO ROOFING","ECON:200106121728138"
"BLDG20-0075","01/07/2020","RESIDENTIAL COUNTER","REROOF","10470 HOYT WAY","Reroof residence","Storm Guard of Central Metro D...","ECON:200106024252268"
"BLDG20-0076","01/07/2020","RESIDENTIAL COUNTER","SEWER REPAIR","7809 BRADBURN BLVD","10' SPOT REPAIR IN FRONT YARD ...","TRENCH RIGHT","ECON:200106031746564"
"BLDG20-0077","01/07/2020","RESIDENTIAL COUNTER","SEWER REPAIR","8561 CRESCENT DR","10' SPOT REPAIR IN FRONT YARD ...","TRENCH RIGHT","ECON:200106031848590"
"BLDG20-0078","01/07/2020","RESIDENTIAL COUNTER","WATER HEATER","2500 W 110TH AVE","50  gall 36,000 btu","SQUEAK SERVICES","ECON:200106031902601"
"BLDG20-0082","01/07/2020","RESIDENTIAL BUILDING","ELECTRICAL","10733 OWENS ST","panel upgrade","Travis Sarbin","EPRS:200106044600165"
"BLDG20-0086","01/07/2020","RESIDENTIAL COUNTER","REROOF","7071 ALCOTT ST","remove old shingles, installin...","ADVOCATE CONSTRUCTION","ECON:200107060906219"
"BLDG20-0087","01/07/2020","RESIDENTIAL COUNTER","REROOF","11246 W 104TH AVE","remove old shingles, installin...","ADVOCATE CONSTRUCTION","ECON:200107061139253"
"BLDG20-0090","01/07/2020","RESIDENTIAL COUNTER","WATER HEATER","8735 W 86TH AVE","40 gal gas 40k BTU water heate...","PLUMBLINE SERVICES","ECON:200107085105784"
"BLDG20-0091","01/07/2020","RESIDENTIAL COUNTER","FURNACE AND AIR CONDITIONER","9912 W 98TH AVE","Replace furnace and a/c - reho...","TODD TERRY LTD DBA APPLE AIRE","ECON:200107091845187"
"BLDG20-0096","01/07/2020","RESIDENTIAL COUNTER","FURNACE AND AIR CONDITIONER","2515 W 110TH AVE","install replacements","COOPER HEATING & COOLING INC","ECON:200107121204899"
"BLDG20-0105","01/07/2020","RESIDENTIAL COUNTER","WATER HEATER","4200 W 80TH PL","Install 6 year 50 gallon Rheem...","TRIUMPH MEHCANICAL INC","ECON:200107033940022"
"BLDG20-0106","01/07/2020","RESIDENTIAL COUNTER","SEWER REPAIR","4291 W 111TH CIR","Sewer line repair with clean o...","PAYLESS ROOTER","ECON:200107042727261"
"BLDG20-0107","01/07/2020","RESIDENTIAL SOLAR","REMOVE AND REINSTALL","9875 UPHAM DR","remove panels and replace them","STATIC ELECTRIC LLC","ECON:200107051959505"
"BLDG19-8302","01/06/2020","COMMERCIAL","BUILDING","12910 ZUNI ST #1300","Frolic Brewing Unit 1200 Expan...","CLMAX ENGINEERING LLC","ECON:191203113354479"
"BLDG19-8387","01/06/2020","RESIDENTIAL BUILDING","BUILDING","5810 W 111TH AVE","Engineered foundation repair","PEAK STRUCTURAL","ECON:191209014530191"
"BLDG19-8390","01/06/2020","RESIDENTIAL COUNTER","REROOF","10452 GARLAND WAY","Remove existing asphalt roof t...","ALL AROUND ROOFING & EXTERIORS","ECON:191209031649944"
"BLDG19-8556","01/06/2020","RESIDENTIAL INTERIOR","INTERIOR REMODEL","9153 YARROW ST","remodel 1423 unit","JD EISENACH CONST INC","ECON:191217105540641"
"BLDG19-8611","01/06/2020","RESIDENTIAL COUNTER","REROOF","9220 GARRISON ST","Tear off to deck and replace w...","1ST Priority Roofing LLC","ECON:191218032732333"
"BLDG19-8638","01/06/2020","RESIDENTIAL COUNTER","FURNACE AND AIR CONDITIONER","10450 LOWELL CT","95% 120 BTU Variable Speed Fur...","DOCTOR FIX IT PLUMBING HEATING...","ECON:191220092132837"
"BLDG19-8650","01/06/2020","RESIDENTIAL COUNTER","FURNACE","4650 W 99TH AVE","install replacement","COOPER HEATING & COOLING INC","ECON:191223114844262"
"BLDG19-8672","01/06/2020","RESIDENTIAL COUNTER","SIDING REPLACEMENT","9162 W 92ND AVE","re-side w/ vinyl siding","NATIONAL HOME IMPROVEMENT","ECON:191224093905585"
